"Id, Faculty",Program,Career,Year,Traject,Course
119,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,Downstream processing
120,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,"Industriele biotechnologie, inclusief Intellectueel Eigendomsrecht en Industriele Seminaries"
121,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,Technologie van de gefermenteerde levensmiddelen
122,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,1,1 B Bio-ingenieurswetenschappen,Algemene biologie
123,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,1,1 B Bio-ingenieurswetenschappen,Algemene dierkunde
124,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,1,1 B Bio-ingenieurswetenschappen,Chemie : bouw van de materie en chemische reacties I
125,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,1,1 B Bio-ingenieurswetenschappen,Chemie : bouw van de materie en chemische reacties II
126,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,1,1 B Bio-ingenieurswetenschappen,Fysica : inleiding mechanica
127,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,1,1 B Bio-ingenieurswetenschappen,"Fysica : trillingen, golven en thermodynamica"
128,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,1,1 B Bio-ingenieurswetenschappen,Geologie
129,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,1,1 B Bio-ingenieurswetenschappen,Inleiding tot de computerwetenschappen
130,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,1,1 B Bio-ingenieurswetenschappen,Wetenschap en Maatschappij
131,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,1,1 B Bio-ingenieurswetenschappen,"Wiskunde : algebra, analyse en meetkunde"
132,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,1,1 B Bio-ingenieurswetenschappen,Wiskunde : gevorderde analyse en meetkunde
133,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,2,2 B Bio-ingenieurswetenschappen,Algemene en moleculaire genetica
134,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,2,2 B Bio-ingenieurswetenschappen,Analytische (bio)chemie
135,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,2,2 B Bio-ingenieurswetenschappen,Biochemie
136,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,2,2 B Bio-ingenieurswetenschappen,"Functionele biologie van planten, fungi en protisten"
137,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,2,2 B Bio-ingenieurswetenschappen,Fysica : elektromagnetisme
138,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,2,2 B Bio-ingenieurswetenschappen,Fysica : elektromagnetisme - Verwerkingsopdracht
139,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,2,2 B Bio-ingenieurswetenschappen,Immunologie
140,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,2,2 B Bio-ingenieurswetenschappen,Organische chemie : reactiviteit
141,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,2,2 B Bio-ingenieurswetenschappen,Organische chemie: structuur
142,Faculteit Wetenschappen,Bio-ingenieurswetenschappen,BA,2,2 B Bio-ingenieurswetenschappen,Thermodynamica
